date,episode,rating,title
1994-06-12,The Jem'Hadar,8.5,Star Trek: Deep Space Nine
1994-09-26,The Search: Part 1,8.3,Star Trek: Deep Space Nine
1994-10-03,The Search: Part 2,8.2,Star Trek: Deep Space Nine
1994-10-10,The House of Quark,7.9,Star Trek: Deep Space Nine
1994-10-17,Equilibrium,6.6,Star Trek: Deep Space Nine
1994-10-24,Second Skin,7.8,Star Trek: Deep Space Nine
1994-10-31,The Abandoned,6.9,Star Trek: Deep Space Nine
1994-11-07,Civil Defense,7.9,Star Trek: Deep Space Nine
1994-11-14,Meridian,5.5,Star Trek: Deep Space Nine
1994-11-21,Defiant,8.0,Star Trek: Deep Space Nine
1994-11-28,Fascination,6.1,Star Trek: Deep Space Nine
1995-01-02,Past Tense: Part 1,7.9,Star Trek: Deep Space Nine
1995-01-09,Past Tense: Part 2,8.0,Star Trek: Deep Space Nine
1995-01-30,Life Support,6.7,Star Trek: Deep Space Nine
1995-02-06,Heart of Stone,7.2,Star Trek: Deep Space Nine
1995-02-13,Destiny,7.4,Star Trek: Deep Space Nine
1995-02-20,Prophet Motive,6.7,Star Trek: Deep Space Nine
1995-02-27,Visionary,7.8,Star Trek: Deep Space Nine
1995-04-10,Distant Voices,6.5,Star Trek: Deep Space Nine
1995-04-17,Through the Looking Glass,7.5,Star Trek: Deep Space Nine
1995-04-24,Improbable Cause,8.6,Star Trek: Deep Space Nine
1995-05-01,The Die Is Cast,8.9,Star Trek: Deep Space Nine
1995-05-08,Explorers,7.3,Star Trek: Deep Space Nine
1995-05-15,Family Business,7.1,Star Trek: Deep Space Nine
1995-05-22,Shakaar,6.9,Star Trek: Deep Space Nine
1995-06-12,Facets,7.1,Star Trek: Deep Space Nine
1995-06-19,The Adversary,8.2,Star Trek: Deep Space Nine
1995-10-02,The Way of the Warrior,8.9,Star Trek: Deep Space Nine
1995-10-09,The Visitor,9.1,Star Trek: Deep Space Nine
1995-10-16,Hippocratic Oath,7.6,Star Trek: Deep Space Nine
1995-10-23,Indiscretion,7.6,Star Trek: Deep Space Nine
1995-10-30,Rejoined,7.0,Star Trek: Deep Space Nine
1995-11-06,Starship Down,7.7,Star Trek: Deep Space Nine
1995-11-13,Little Green Men,8.4,Star Trek: Deep Space Nine
1995-11-20,The Sword of Kahless,7.0,Star Trek: Deep Space Nine
1995-11-27,Our Man Bashir,7.9,Star Trek: Deep Space Nine
1996-01-01,Homefront,8.2,Star Trek: Deep Space Nine
1996-01-08,Paradise Lost,8.2,Star Trek: Deep Space Nine
1996-01-29,Crossfire,7.1,Star Trek: Deep Space Nine
1996-02-05,Return to Grace,7.8,Star Trek: Deep Space Nine
1996-02-12,Sons of Mogh,7.2,Star Trek: Deep Space Nine
1996-02-19,Bar Association,7.3,Star Trek: Deep Space Nine
1996-02-26,Accession,7.2,Star Trek: Deep Space Nine
1996-04-08,Rules of Engagement,7.2,Star Trek: Deep Space Nine
1996-04-15,Hard Time,8.2,Star Trek: Deep Space Nine
1996-04-22,Shattered Mirror,7.2,Star Trek: Deep Space Nine
1996-04-29,The Muse,5.5,Star Trek: Deep Space Nine
1996-05-06,For the Cause,7.8,Star Trek: Deep Space Nine
1996-05-13,To the Death,8.1,Star Trek: Deep Space Nine
1996-05-20,The Quickening,7.5,Star Trek: Deep Space Nine
1996-06-10,Body Parts,7.5,Star Trek: Deep Space Nine
1996-06-17,Broken Link,8.1,Star Trek: Deep Space Nine
1996-09-30,Apocalypse Rising,8.2,Star Trek: Deep Space Nine
1996-10-07,The Ship,7.9,Star Trek: Deep Space Nine
1996-10-14,Looking for par'Mach in All the Wrong Places,7.7,Star Trek: Deep Space Nine
1996-10-21,...Nor the Battle to the Strong,7.5,Star Trek: Deep Space Nine
1996-10-28,The Assignment,7.1,Star Trek: Deep Space Nine
1996-11-04,Trials and Tribble-ations,9.3,Star Trek: Deep Space Nine
1996-11-11,Let He Who Is Without Sin...,5.4,Star Trek: Deep Space Nine
1996-11-18,Things Past,7.5,Star Trek: Deep Space Nine
1996-11-25,The Ascent,7.4,Star Trek: Deep Space Nine
1996-12-30,Rapture,7.3,Star Trek: Deep Space Nine
1997-01-06,The Darkness and the Light,6.9,Star Trek: Deep Space Nine
1997-01-27,The Begotten,7.8,Star Trek: Deep Space Nine
1997-02-03,For the Uniform,7.8,Star Trek: Deep Space Nine
1997-02-10,In Purgatory's Shadow,8.8,Star Trek: Deep Space Nine
1997-02-17,By Inferno's Light,8.8,Star Trek: Deep Space Nine
1997-02-24,"Doctor Bashir, I Presume?",7.8,Star Trek: Deep Space Nine
1997-03-31,A Simple Investigation,6.6,Star Trek: Deep Space Nine
1997-04-07,Business as Usual,7.3,Star Trek: Deep Space Nine
1997-04-14,Ties of Blood and Water,7.2,Star Trek: Deep Space Nine
1997-04-21,Ferengi Love Songs,6.6,Star Trek: Deep Space Nine
1997-04-28,Soldiers of the Empire,7.6,Star Trek: Deep Space Nine
1997-05-05,Children of Time,7.9,Star Trek: Deep Space Nine
1997-05-12,Blaze of Glory,7.6,Star Trek: Deep Space Nine
1997-05-19,Empok Nor,7.7,Star Trek: Deep Space Nine
1997-06-09,In the Cards,7.8,Star Trek: Deep Space Nine
1997-06-16,Call to Arms,9.0,Star Trek: Deep Space Nine
1997-09-29,A Time to Stand,8.5,Star Trek: Deep Space Nine
1997-10-06,Rocks and Shoals,8.6,Star Trek: Deep Space Nine
1997-10-13,Sons and Daughters,6.9,Star Trek: Deep Space Nine
1997-10-20,Behind the Lines,7.9,Star Trek: Deep Space Nine
1997-10-27,Favor the Bold,8.5,Star Trek: Deep Space Nine
1997-11-03,Sacrifice of Angels,8.8,Star Trek: Deep Space Nine
1997-11-10,You Are Cordially Invited...,7.4,Star Trek: Deep Space Nine
1997-11-17,Resurrection,5.8,Star Trek: Deep Space Nine
1997-11-24,Statistical Probabilities,7.7,Star Trek: Deep Space Nine
1998-01-01,The Magnificent Ferengi,8.0,Star Trek: Deep Space Nine
1998-01-08,Waltz,7.7,Star Trek: Deep Space Nine
1998-02-04,Who Mourns for Morn?,7.6,Star Trek: Deep Space Nine
1998-02-11,Far Beyond the Stars,8.7,Star Trek: Deep Space Nine
1998-02-18,One Little Ship,7.6,Star Trek: Deep Space Nine
1998-02-25,Honor Among Thieves,7.3,Star Trek: Deep Space Nine
1998-03-04,Change of Heart,7.0,Star Trek: Deep Space Nine
1998-04-01,Wrongs Darker Than Death or Night,6.8,Star Trek: Deep Space Nine
1998-04-08,Inquisition,8.1,Star Trek: Deep Space Nine
1998-04-15,In the Pale Moonlight,9.3,Star Trek: Deep Space Nine
1998-04-22,His Way,7.5,Star Trek: Deep Space Nine
1998-04-29,The Reckoning,7.2,Star Trek: Deep Space Nine
1998-05-06,Valiant,7.0,Star Trek: Deep Space Nine
1998-05-13,Profit and Lace,5.8,Star Trek: Deep Space Nine
1998-05-20,Time's Orphan,6.3,Star Trek: Deep Space Nine
1998-06-10,The Sound of Her Voice,7.5,Star Trek: Deep Space Nine
1998-06-17,Tears of the Prophets,8.2,Star Trek: Deep Space Nine
1998-09-30,Image in the Sand,7.6,Star Trek: Deep Space Nine
1998-10-07,Shadows and Symbols,7.9,Star Trek: Deep Space Nine
1998-10-14,Afterimage,7.2,Star Trek: Deep Space Nine
1998-10-21,Take Me Out to the Holosuite,7.4,Star Trek: Deep Space Nine
1998-10-28,Chrysalis,7.1,Star Trek: Deep Space Nine
1998-11-02,"Treachery, Faith, and the Great River",8.2,Star Trek: Deep Space Nine
1998-11-11,Once More Unto the Breach,7.6,Star Trek: Deep Space Nine
1998-11-18,The Siege of AR-558,8.6,Star Trek: Deep Space Nine
1998-11-25,Covenant,6.7,Star Trek: Deep Space Nine
1998-12-30,It's Only a Paper Moon,8.0,Star Trek: Deep Space Nine
1999-01-06,Prodigal Daughter,6.3,Star Trek: Deep Space Nine
1999-02-03,The Emperor's New Cloak,6.4,Star Trek: Deep Space Nine
1999-02-10,Field of Fire,6.7,Star Trek: Deep Space Nine
1999-02-17,Chimera,7.1,Star Trek: Deep Space Nine
1999-02-24,"Badda-Bing, Badda-Bang",7.7,Star Trek: Deep Space Nine
1999-03-03,Inter Arma Enim Silent Leges,8.3,Star Trek: Deep Space Nine
1999-04-07,Penumbra,7.5,Star Trek: Deep Space Nine
1999-04-14,'Til Death Do Us Part,7.6,Star Trek: Deep Space Nine
1999-04-21,Strange Bedfellows,7.9,Star Trek: Deep Space Nine
1999-04-28,The Changing Face of Evil,8.4,Star Trek: Deep Space Nine
1999-05-05,When It Rains...,8.1,Star Trek: Deep Space Nine
1999-05-12,Tacking Into the Wind,8.7,Star Trek: Deep Space Nine
1999-05-19,Extreme Measures,7.5,Star Trek: Deep Space Nine
1999-05-26,The Dogs of War,8.3,Star Trek: Deep Space Nine
1999-06-02,What You Leave Behind,8.7,Star Trek: Deep Space Nine
2001-09-25,Broken Bow: Part 1,7.5,Star Trek: Enterprise
2001-09-26,Broken Bow: Part 2,7.9,Star Trek: Enterprise
2001-10-03,Fight or Flight,7.0,Star Trek: Enterprise
2001-10-10,Strange New World,7.0,Star Trek: Enterprise
2001-10-17,Unexpected,7.2,Star Trek: Enterprise
2001-10-24,Terra Nova,6.5,Star Trek: Enterprise
2001-10-31,The Andorian Incident,8.1,Star Trek: Enterprise
2001-11-07,Breaking the Ice,7.2,Star Trek: Enterprise
2001-11-14,Civilization,7.2,Star Trek: Enterprise
2001-11-21,Fortunate Son,6.6,Star Trek: Enterprise
2001-11-28,Cold Front,7.8,Star Trek: Enterprise
2002-01-16,Silent Enemy,7.7,Star Trek: Enterprise
2002-01-23,Dear Doctor,8.0,Star Trek: Enterprise
2002-01-30,Sleeping Dogs,7.2,Star Trek: Enterprise
2002-02-06,Shadows of P'Jem,7.8,Star Trek: Enterprise
2002-02-13,Shuttlepod One,7.4,Star Trek: Enterprise
2002-02-27,Fusion,7.1,Star Trek: Enterprise
2002-03-20,Rogue Planet,6.7,Star Trek: Enterprise
2002-03-27,Acquisition,7.6,Star Trek: Enterprise
2002-04-03,Oasis,7.1,Star Trek: Enterprise
2002-04-24,Detained,7.4,Star Trek: Enterprise
2002-05-01,Vox Sola,6.7,Star Trek: Enterprise
2002-05-08,Fallen Hero,8.1,Star Trek: Enterprise
2002-05-08,Desert Crossing,7.0,Star Trek: Enterprise
2002-05-15,Two Days and Two Nights,6.8,Star Trek: Enterprise
2002-05-22,Shockwave: Part 1,8.5,Star Trek: Enterprise
2002-09-18,Shockwave: Part 2,8.5,Star Trek: Enterprise
2002-09-25,Carbon Creek,8.4,Star Trek: Enterprise
2002-10-02,Minefield,7.6,Star Trek: Enterprise
2002-10-09,Dead Stop,8.1,Star Trek: Enterprise
2002-10-16,A Night in Sickbay,6.8,Star Trek: Enterprise
2002-10-30,Marauders,6.7,Star Trek: Enterprise
2002-11-06,The Seventh,6.9,Star Trek: Enterprise
2002-11-13,The Communicator,7.0,Star Trek: Enterprise
2002-11-20,Singularity,7.5,Star Trek: Enterprise
2002-11-27,Vanishing Point,7.0,Star Trek: Enterprise
2002-12-11,Precious Cargo,6.7,Star Trek: Enterprise
2002-12-18,The Catwalk,7.6,Star Trek: Enterprise
2003-01-08,Dawn,7.4,Star Trek: Enterprise
2003-02-05,Stigma,7.5,Star Trek: Enterprise
2003-02-12,Cease Fire,8.0,Star Trek: Enterprise
2003-02-19,Future Tense,8.2,Star Trek: Enterprise
2003-02-26,Canamar,6.9,Star Trek: Enterprise
2003-04-02,The Crossing,7.0,Star Trek: Enterprise
2003-04-09,Judgment,7.6,Star Trek: Enterprise
2003-04-16,Horizon,6.7,Star Trek: Enterprise
2003-04-23,The Breach,7.0,Star Trek: Enterprise
2003-04-30,Cogenitor,8.0,Star Trek: Enterprise
2003-05-07,Regeneration,8.6,Star Trek: Enterprise
2003-05-14,First Flight,7.6,Star Trek: Enterprise
2003-05-14,Bounty,7.1,Star Trek: Enterprise
2003-05-21,The Expanse,8.4,Star Trek: Enterprise
2003-09-10,The Xindi,8.0,Star Trek: Enterprise
2003-09-17,Anomaly,8.0,Star Trek: Enterprise
2003-09-24,Extinction,6.3,Star Trek: Enterprise
2003-10-01,Rajiin,7.2,Star Trek: Enterprise
2003-10-08,Impulse,7.6,Star Trek: Enterprise
2003-10-15,Exile,7.0,Star Trek: Enterprise
2003-10-22,The Shipment,7.7,Star Trek: Enterprise
2003-11-05,Twilight,8.8,Star Trek: Enterprise
2003-11-12,North Star,7.0,Star Trek: Enterprise
2003-11-19,Similitude,8.4,Star Trek: Enterprise
2003-11-26,Carpenter Street,7.5,Star Trek: Enterprise
2004-01-14,Chosen Realm,7.0,Star Trek: Enterprise
2004-01-21,Proving Ground,8.4,Star Trek: Enterprise
2004-02-04,Stratagem,8.3,Star Trek: Enterprise
2004-02-11,Harbinger,7.6,Star Trek: Enterprise
2004-02-18,Doctor's Orders,7.5,Star Trek: Enterprise
2004-02-25,Hatchery,6.9,Star Trek: Enterprise
2004-03-03,Azati Prime,8.7,Star Trek: Enterprise
2004-04-21,Damage,8.3,Star Trek: Enterprise
2004-04-28,The Forgotten,8.0,Star Trek: Enterprise
2004-05-05,E²,8.0,Star Trek: Enterprise
2004-05-12,The Council,8.5,Star Trek: Enterprise
2004-05-19,Countdown,8.7,Star Trek: Enterprise
2004-05-26,Zero Hour,8.7,Star Trek: Enterprise
2004-10-08,Storm Front: Part 1,7.6,Star Trek: Enterprise
2004-10-15,Storm Front: Part 2,7.6,Star Trek: Enterprise
2004-10-22,Home,8.2,Star Trek: Enterprise
2004-10-29,Borderland,8.2,Star Trek: Enterprise
2004-11-05,Cold Station 12,8.2,Star Trek: Enterprise
2004-11-12,The Augments,8.2,Star Trek: Enterprise
2004-11-19,The Forge,8.5,Star Trek: Enterprise
2004-11-26,Awakening,8.3,Star Trek: Enterprise
2004-12-03,Kir'Shara,8.6,Star Trek: Enterprise
2005-01-14,Daedalus,6.5,Star Trek: Enterprise
2005-01-21,Observer Effect,7.9,Star Trek: Enterprise
2005-01-28,Babel One,8.6,Star Trek: Enterprise
2005-02-04,United,8.6,Star Trek: Enterprise
2005-02-11,The Aenar,8.4,Star Trek: Enterprise
2005-02-18,Affliction,8.1,Star Trek: Enterprise
2005-02-25,Divergence,8.2,Star Trek: Enterprise
2005-04-15,Bound,7.1,Star Trek: Enterprise
2005-04-22,"In a Mirror, Darkly: Part 1",8.7,Star Trek: Enterprise
2005-04-29,"In a Mirror, Darkly: Part 2",8.7,Star Trek: Enterprise
2005-05-06,Demons,7.9,Star Trek: Enterprise
2005-05-13,Terra Prime,8.4,Star Trek: Enterprise
2005-05-13,These Are the Voyages...,5.3,Star Trek: Enterprise
